PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3(Flitecam data),PAH G7.6,PAH G7.8,H2,H2_12,PAH PLAT7,f_evsg,G76,G78,G76 Dave,G78 Dave,PAH 12.7
3.82444626678897E-06,2.24816586423522E-06,6.24521181419395E-06,1.44785989614563E-07,1.00911865881325E-06,9.53207454014886E-07,6.44641765904077E-06,1.94965724216463E-06,1.77068705343199E-07,9.36404363591299E-08,1.49361492240696E-05,0.431566522028954,1.34577890646642E-05,6.10526899618016E-06,5.64247307170069E-06,3.37553320512332E-06,6.28585263426434E-07
3.58438141718065E-06,2.16429651374636E-06,6.23956202136363E-06,1.33830578982036E-07,1.03604401372242E-06,7.0428995857212E-07,6.38360289437517E-06,1.86991152133524E-06,1.58603414023833E-07,6.7308744237524E-08,1.43340285844461E-05,0.373548993314409,1.33266545496937E-05,5.85554865230208E-06,5.49176140928265E-06,3.21354299373093E-06,6.69456221577744E-07
3.61617022646289E-06,2.08844873463384E-06,6.20723306698167E-06,1.34692740493275E-07,1.00136129741841E-06,9.03390141916513E-07,6.3821469913887E-06,1.77801378096141E-06,1.54111637529108E-07,7.44131951707906E-08,1.40702870381176E-05,0.311649816565823,1.33236151507085E-05,5.56777477441758E-06,5.36685884418619E-06,3.02605672085071E-06,6.40906951441192E-07
3.42143850911433E-06,1.93552198191443E-06,5.93150542375933E-06,1.46434279363515E-07,8.75005515574603E-07,6.81412542746361E-07,6.20012487568811E-06,1.64220746318375E-06,1.53185717414875E-07,8.95116950409904E-08,1.30277472976913E-05,0.238616355677845,1.29436187918367E-05,5.14250304794077E-06,5.09266318102617E-06,2.77533619881325E-06,5.54320008516436E-07
3.17482390379081E-06,1.77067746001931E-06,5.42113293904115E-06,1.53586235571025E-07,7.55900876686602E-07,7.11674192216901E-07,5.65262711483025E-06,1.47277869728525E-06,1.39934014980077E-07,8.26171546585274E-08,1.1519152612238E-05,0.20901354627126,1.1800641440894E-05,4.61194405063071E-06,4.60414048424603E-06,2.53590974566071E-06,4.89610020926971E-07
2.94004945436138E-06,1.63872876020357E-06,5.13943132678328E-06,1.31176089606361E-07,6.82016812281256E-07,5.56903809781398E-07,5.18724458793375E-06,1.39450321386375E-06,1.17324273207795E-07,6.23981501077402E-08,1.03929688689576E-05,0.242781728938086,1.08290910058132E-05,4.36682769286326E-06,4.2035482170122E-06,2.34454409065325E-06,4.78484929085307E-07
2.61041528044175E-06,1.48738743158765E-06,4.77761705737075E-06,9.83495156861809E-08,6.56401272297772E-07,4.20955540014707E-07,4.74981065718194E-06,1.33537554559048E-06,9.29759630612538E-08,4.5330179838112E-08,9.78528698768772E-06,0.283410724143345,9.91588713334474E-06,4.18167190644184E-06,3.84181236620155E-06,2.1470387223541E-06,4.53690018966197E-07
2.38317059359103E-06,1.27854890796114E-06,4.28994491755363E-06,8.48682436550024E-08,6.30345499021606E-07,1.35147412110049E-07,4.25582238697112E-06,1.27241066510161E-06,8.52653827616415E-08,3.99099208275411E-08,8.5546399265953E-06,0.338801541346491,8.88461824998407E-06,3.9845000526497E-06,3.36057483168909E-06,1.94670628534804E-06,3.71674216531208E-07
2.01289155989741E-06,1.05317911183716E-06,3.59824894917606E-06,7.74175893286022E-08,5.51209078777647E-07,2.22109328524053E-07,3.66708085468E-06,1.14073559982457E-06,8.49779895612442E-08,5.20400099791305E-08,7.63645543204642E-06,0.370138556473081,7.65553881792628E-06,3.57216516823004E-06,2.85617005697837E-06,1.72967298743864E-06,3.22747050728072E-07
1.79693322742359E-06,9.08735842681667E-07,3.23597655888555E-06,7.11450736702404E-08,5.03774567914507E-07,3.33579500394905E-07,3.34889120480577E-06,9.79719625335912E-07,8.91237924070918E-08,6.28693449639592E-08,6.53684578154254E-06,0.344645156809932,6.99127388551668E-06,3.06795047055123E-06,2.669641324367E-06,1.55114864284462E-06,3.23723958403556E-07
1.63231035507075E-06,8.54329559366324E-07,2.95134873391665E-06,7.77416548082251E-08,4.67776249110098E-07,2.26865782877288E-07,3.08763320223163E-06,8.64035195018929E-07,7.18699693990149E-08,4.59635664607584E-08,5.79405643959509E-06,0.333650967660575,6.44586164633802E-06,2.7056895815701E-06,2.50608626400665E-06,1.43772018830517E-06,2.9569006860899E-07
1.48960714201948E-06,8.58294738820283E-07,2.55686484860853E-06,9.6135219303367E-08,4.74043813642414E-07,2.45193795266367E-07,2.6724791728009E-06,8.13920273602317E-07,5.71925867613176E-08,2.75941712284248E-08,5.44175457427321E-06,0.322824160594306,5.5791701514752E-06,2.54875682982594E-06,2.16507367836581E-06,1.380281032316E-06,2.62572154791591E-07
1.47791031522003E-06,8.51406618860371E-07,2.41215199328129E-06,9.75570681892364E-08,4.78538066532856E-07,1.59447469945375E-07,2.50299167934625E-06,7.71193513897659E-07,6.28937051535723E-08,3.86739207243609E-08,4.87475143905914E-06,0.295106593673746,5.22534155136697E-06,2.41495979325428E-06,1.98192803906551E-06,1.32082671620569E-06,2.44379388495777E-07
1.35505820863152E-06,8.55032277024701E-07,2.30498415046002E-06,9.26664374017185E-08,4.36389512707236E-07,9.09934876118961E-08,2.35444442414859E-06,7.14988626445896E-07,6.12981382406948E-08,4.83008553518196E-08,4.53589631068276E-06,0.278635598446748,4.91522859680511E-06,2.23895657106121E-06,1.86815761770875E-06,1.23492517080868E-06,2.2301233060722E-07
1.18590775225362E-06,7.84618151121864E-07,2.36084861297286E-06,8.33700063331779E-08,4.179675244301E-07,2.18283774026721E-07,2.24898094822545E-06,7.21618124109965E-07,5.72823770532948E-08,3.09694760718684E-08,3.91594625543436E-06,0.241857872679957,4.69505899438888E-06,2.25971656193209E-06,1.75627400897849E-06,1.19240790895872E-06,2.39767072011702E-07
1.09281076408115E-06,6.65154933753373E-07,2.21435808544889E-06,5.95815394195314E-08,4.29946895818981E-07,2.37046093662796E-07,2.08129881250139E-06,7.20645294170634E-07,4.26639827452649E-08,1.45840595084575E-08,3.33612553045777E-06,0.208126045904734,4.34499932840959E-06,2.25667018622117E-06,1.56821828783059E-06,1.12821115911211E-06,2.6478498947871E-07
8.82273309217419E-06,5.69482254800898E-06,1.55547688094573E-05,3.10143679602118E-07,3.14164163909992E-06,2.74443473595207E-06,1.66104230977456E-05,4.71134083789418E-06,2.50740432603933E-07,1.11879888430469E-07,3.53410778228451E-05,0.430385644122456,3.46765571434522E-05,1.47533640918838E-05,0,0,1.71553255067105E-06
8.22518246975127E-06,5.26115850890691E-06,1.43001696494517E-05,3.05148440590063E-07,2.96008878559798E-06,1.95064831957693E-06,1.54381511474039E-05,4.26660820791872E-06,2.05515249361033E-07,8.42845140065465E-08,3.26274643429124E-05,0.392112821857409,3.22292772015461E-05,1.33607027159979E-05,1.49818962530547E-05,7.1339896139376E-06,1.65298467937121E-06
7.43144780103108E-06,4.62190076944632E-06,1.28841400356001E-05,3.26339114344403E-07,2.63284026107709E-06,1.1770215377412E-06,1.39836853684714E-05,3.66949624290781E-06,1.70209694214821E-07,6.89906933133737E-08,2.90133697379186E-05,0.336323256181039,2.9192878586077E-05,1.1490871912722E-05,1.35873752114704E-05,6.31242775053977E-06,1.46929500635631E-06
6.90716916913723E-06,4.040089147641E-06,1.21050925220868E-05,3.35529356947501E-07,2.41590480359388E-06,1.01632481136734E-06,1.31194288577546E-05,3.26545234737172E-06,1.53935401610003E-07,6.29755510149676E-08,2.61821073003755E-05,0.264207789774068,2.73886235045469E-05,1.02256255836937E-05,1.2168864153088E-05,5.31055988349632E-06,1.34817230006234E-06
6.57855806996839E-06,3.66525386308399E-06,1.16536231029748E-05,3.28290077509708E-07,2.29817802059504E-06,1.27436502216134E-06,1.26854232634304E-05,3.08678506719859E-06,1.52072471735541E-07,6.24670300118997E-08,2.49878395031954E-05,0.22084119306994,2.6482576758862E-05,9.66613657060862E-06,1.16086499879573E-05,4.78827849230787E-06,1.29506667481952E-06
6.22934379999155E-06,3.47991206267925E-06,1.13988343682542E-05,3.24209046107159E-07,2.21723058018838E-06,1.07722034528637E-06,1.23247864382891E-05,3.04586026029916E-06,1.5025109692102E-07,6.18636114530976E-08,2.43977760894851E-05,0.221052041497727,2.57296974732799E-05,9.53798227285094E-06,1.11202491290503E-05,4.55173114261449E-06,1.27089706024213E-06
