PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3 (Flitecam data),f_evsg, PAH G7.6, PAH G7.8
1.76E-06,8.91E-07,3.15E-06,6.22E-08,4.84E-07,2.27E-07,0.3457732221,2.64E-06,1.37E-06
1.61E-06,8.57E-07,2.96E-06,6.96E-08,4.32E-07,9.94E-08,0.3486461502,2.52E-06,1.33E-06
1.51E-06,8.71E-07,2.65E-06,9.09E-08,4.34E-07,-8.15E-08,0.3549290256,2.27E-06,1.29E-06
1.42E-06,8.46E-07,2.39E-06,9.26E-08,4.40E-07,3.35E-07,0.3412945363,2.05E-06,1.19E-06
1.30E-06,8.38E-07,2.27E-06,9.23E-08,4.08E-07,9.49E-08,0.3185681821,1.85E-06,1.08E-06
1.15E-06,7.63E-07,2.31E-06,8.36E-08,4.01E-07,3.32E-07,0.2655738346,1.80E-06,1.07E-06
1.06E-06,6.39E-07,2.07E-06,5.69E-08,4.10E-07,3.46E-07,0.2205123333,1.46E-06,9.33E-07
9.52E-06,5.65E-06,1.71E-05,4.34E-07,3.19E-06,2.80E-06,0.2747680414,0,0
9.27E-06,5.56E-06,1.64E-05,4.10E-07,3.13E-06,2.29E-06,0.2688446959,1.55E-05,7.48E-06
8.35E-06,5.01E-06,1.47E-05,3.91E-07,2.82E-06,1.44E-06,0.2498747583,1.42E-05,6.68E-06
7.53E-06,4.27E-06,1.27E-05,3.90E-07,2.50E-06,1.01E-06,0.1863045918,1.27E-05,5.67E-06
7.08E-06,3.67E-06,1.21E-05,3.99E-07,2.29E-06,8.54E-07,0.1108667585,1.17E-05,4.90E-06
6.70E-06,3.37E-06,1.16E-05,4.00E-07,2.19E-06,9.64E-07,0.0913002243,1.13E-05,4.62E-06
6.52E-06,3.28E-06,1.16E-05,3.86E-07,2.14E-06,1.15E-06,0.1205005737,1.13E-05,4.71E-06
6.60E-06,3.35E-06,1.13E-05,3.71E-07,2.07E-06,1.19E-06,0.1679243876,1.12E-05,4.83E-06
6.52E-06,3.43E-06,1.14E-05,3.48E-07,1.97E-06,1.15E-06,0.2211992943,1.09E-05,4.94E-06
6.21E-06,3.46E-06,1.11E-05,3.27E-07,1.88E-06,9.21E-07,0.2575946374,1.04E-05,4.93E-06
6.51E-06,3.51E-06,1.11E-05,3.24E-07,1.94E-06,1.03E-06,0.2541961448,9.95E-06,4.71E-06
7.31E-06,3.63E-06,1.27E-05,3.71E-07,2.20E-06,1.29E-06,0.2170707531,1.09E-05,4.97E-06
8.53E-06,3.81E-06,1.54E-05,4.25E-07,2.73E-06,1.66E-06,0.1796959747,1.30E-05,5.66E-06
9.92E-06,4.11E-06,1.81E-05,4.96E-07,3.35E-06,2.01E-06,0.1596344652,1.57E-05,6.53E-06
1.03E-05,4.33E-06,1.93E-05,5.51E-07,3.64E-06,1.87E-06,0.1494873073,1.74E-05,7.02E-06
9.66E-06,4.23E-06,1.83E-05,5.36E-07,3.39E-06,1.37E-06,0.1415435359,1.69E-05,6.76E-06
8.94E-06,3.98E-06,1.65E-05,5.10E-07,2.98E-06,1.43E-06,0.1368217657,1.54E-05,6.07E-06
8.59E-06,3.81E-06,1.57E-05,5.01E-07,2.73E-06,1.74E-06,0.1301614702,1.44E-05,5.54E-06
8.51E-06,3.68E-06,1.53E-05,5.02E-07,2.57E-06,1.55E-06,0.1111580596,1.42E-05,5.35E-06
8.43E-06,3.58E-06,1.49E-05,4.97E-07,2.48E-06,1.18E-06,0.08315772008,1.40E-05,5.27E-06
8.41E-06,3.68E-06,1.49E-05,4.89E-07,2.50E-06,1.80E-06,0.08216432527,1.41E-05,5.41E-06
8.58E-06,3.98E-06,1.52E-05,4.95E-07,2.53E-06,1.92E-06,0.1222390391,1.43E-05,5.69E-06
8.78E-06,4.11E-06,1.53E-05,5.05E-07,2.52E-06,1.72E-06,0.1356814685,1.42E-05,5.78E-06
8.79E-06,4.13E-06,1.55E-05,5.07E-07,2.59E-06,1.51E-06,0.1009642904,1.42E-05,5.73E-06
8.78E-06,4.31E-06,1.57E-05,5.09E-07,2.70E-06,1.55E-06,0.06863153631,1.44E-05,5.85E-06
9.22E-06,4.72E-06,1.59E-05,4.92E-07,2.69E-06,2.50E-06,0.09144464857,1.46E-05,6.16E-06
1.02E-05,5.55E-06,1.69E-05,4.52E-07,2.67E-06,4.22E-06,0.1937843867,1.51E-05,6.80E-06
1.13E-05,6.65E-06,1.84E-05,4.27E-07,2.73E-06,4.43E-06,0.3146077384,1.61E-05,7.99E-06
1.16E-05,7.06E-06,1.92E-05,4.29E-07,2.64E-06,3.21E-06,0.3942681702,1.65E-05,8.99E-06
1.08E-05,6.58E-06,1.82E-05,4.29E-07,2.43E-06,2.52E-06,0.4175349214,1.57E-05,8.87E-06
9.63E-06,5.86E-06,1.64E-05,4.17E-07,2.26E-06,2.11E-06,0.397113869,1.47E-05,8.04E-06
8.72E-06,5.01E-06,1.50E-05,4.22E-07,2.04E-06,1.87E-06,0.3567679518,1.36E-05,7.10E-06
7.84E-06,4.13E-06,1.34E-05,4.20E-07,1.83E-06,1.39E-06,0.3031537738,1.24E-05,6.20E-06
7.03E-06,3.53E-06,1.20E-05,3.97E-07,1.74E-06,1.48E-06,0.2408698797,1.11E-05,5.35E-06
6.41E-06,3.26E-06,1.10E-05,3.65E-07,1.72E-06,1.28E-06,0.1757981712,1.01E-05,4.71E-06
5.83E-06,3.14E-06,1.02E-05,3.43E-07,1.66E-06,1.04E-06,0.1383836003,9.47E-06,4.34E-06
5.53E-06,3.15E-06,9.48E-06,3.27E-07,1.56E-06,1.40E-06,0.1554918652,8.79E-06,4.06E-06
5.54E-06,3.23E-06,9.19E-06,2.86E-07,1.47E-06,1.40E-06,0.204880345,8.44E-06,3.96E-06
5.45E-06,3.28E-06,9.07E-06,2.51E-07,1.34E-06,1.68E-06,0.2755061019,8.26E-06,4.09E-06
5.13E-06,3.15E-06,8.48E-06,2.36E-07,1.20E-06,1.38E-06,0.3274653976,7.70E-06,3.99E-06
4.83E-06,2.91E-06,7.97E-06,2.03E-07,1.14E-06,1.53E-06,0.3383661961,7.20E-06,3.72E-06
4.76E-06,2.88E-06,7.66E-06,1.93E-07,1.13E-06,1.47E-06,0.3341481805,6.97E-06,3.60E-06
