PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,f_evsg,PAH G7.8,PAH G7.6
2.43E-06,9.48E-07,4.44E-06,1.32E-07,7.27E-07,0.1755911551,9.82E-07,3.37E-06
2.38E-06,9.47E-07,4.42E-06,1.26E-07,7.38E-07,0.2045985625,1.03E-06,3.37E-06
2.35E-06,9.69E-07,4.40E-06,1.26E-07,7.33E-07,0.204046318,1.02E-06,3.40E-06
2.38E-06,9.70E-07,4.41E-06,1.36E-07,7.28E-07,0.1682540774,9.77E-07,3.41E-06
2.38E-06,9.44E-07,4.31E-06,1.30E-07,7.31E-07,0.1565231446,9.40E-07,3.41E-06
2.78E-06,9.60E-07,4.53E-06,1.25E-07,7.46E-07,0.2267949984,9.59E-07,3.53E-06
1.62E-06,1.36E-06,3.51E-06,6.53E-08,3.76E-07,0.5720492814,1.40E-06,2.42E-06
1.78E-06,1.41E-06,3.40E-06,6.79E-08,3.99E-07,0.5571034362,1.37E-06,2.34E-06
1.81E-06,1.40E-06,3.40E-06,7.29E-08,4.37E-07,0.5058055357,1.35E-06,2.39E-06
1.94E-06,1.31E-06,3.60E-06,8.94E-08,4.60E-07,0.4792675681,1.35E-06,2.54E-06
2.16E-06,1.31E-06,4.10E-06,9.53E-08,4.92E-07,0.4708257592,1.47E-06,2.90E-06
